tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,iuwqLEMIEBJWc9tayb9uk8tWi9MLF2MsWs6WpC2WiI_Sbc0,FA Mightybear,918,1223,1212,True,False,False,False
CHALLENGER,rlEyrx7vtjdl6B0hWU1d9BP8yQEWxqzCWKFR8gfZXqGw8nU,BRION Minit,918,739,676,True,False,False,False
CHALLENGER,uU1WdFxIXXGA27XQQWHUcDA4iRaCI7LlLGX2t3PUticJGgo,good f0r nothing,917,1322,1289,False,False,True,True
CHALLENGER,wyIuUqHCsFa_zDDbSntzNQMRGejvKb7k1po3uFZOFwZBmJY,사 용 수,917,668,667,True,False,False,False
CHALLENGER,EIsb8Xa7M6oJdwLRqotD7td9tE1JKcF6oA_0xWljJXr9rw,동부승지,915,213,172,True,False,False,False
CHALLENGER,y3cEzA0ryyQUA1bIz1CDs9FokCd5hNbYLVmLnxOsgR2YjuE,LNG Life,914,1025,955,True,False,False,False
CHALLENGER,U-gw4wcNq-W6Elgx0k0j06gMp2AK0FLgARR-v5-XXCpeS2U,살려주세요123,914,464,401,True,False,False,False
CHALLENGER,WKVl5aFgzh7wFggy7sGsMJy2fYBjUZ1UxeRVYY1JxOoK9rQ,에스카노르 킹,914,517,420,True,False,False,False
CHALLENGER,Qy5ZvC6f8pxahp_vxTgKsTFjrYEeEkyokm66FidPkx4OKQ,NekoL,914,408,385,True,False,False,False
CHALLENGER,I1_wRB3e5MFGTURuC8-uXvxfu1EcGlDGuZI7WQmxAFlegtk,Xxqqq,914,888,845,False,False,False,False
CHALLENGER,jwox6ky81mDRaH-qN3DY22SdcLmt_FWRIZ5pLWGk0NDY-7s,안안녕,913,728,708,True,False,False,False
CHALLENGER,ZRS5r5g7eZvP_Na0R_GlUtY2s-p7fzUAwFyZBikrrclDrqw,5Kid,911,549,487,False,False,False,True
CHALLENGER,Ag6N3vtm5izO850acgBVuqga_Vl2xnnzOQmgtmmFaX63JMU,MaRin,909,544,471,False,False,False,False
CHALLENGER,BjfRghKfHlhJzg5Ex9_O2geO_ilCMCaoxPPEKmJsJzGBIlc,크림몬 yt,909,660,625,False,False,False,False
CHALLENGER,-m2CodWY0qnMmyf_zLAo2MO5aRV61QBadPYITdgRq9P1hFk,SKT T1 HaKaM,908,495,449,True,False,False,False
CHALLENGER,X-By2IW2cTfBVEEnAgxHCud_KvMGX9ThldPjlk0YN4Jo0zc,해강고 원딜,908,831,770,False,False,False,False
CHALLENGER,M7JjCX9F6rZO0Dke_cV_tC9sU1Fo6uBlGtMcxtLz9ZTLpQ,T1 Roach,907,1647,1641,False,False,True,False
CHALLENGER,e9nRunzgGM2hNakaat4Gwym0YIZ9BlV3aRpBX7o4JroLHN8,DRX BigShot,907,1326,1247,False,False,True,False
